text,sentiment
,0
Horrible!!! The worst experience ever. Do not buy!! :(,0
Terrible service!! I won't buy from here again... :(,0
"I had high hopes, but it broke after a week. :-/",0
"Product is okay, but packaging was awful. ?!?",0
"Good quality, but a bit expensive. Worth it though! :)",0
"Not the best, but not the worst either. Neutral feeling.",0
"Good quality, but a bit expensive. Worth it though! :)",0
Worst experience ever!!! Customer support was so rude. **,0
Terrible service!! I won't buy from here again... :(,0
"Delivery was late, but the product is okay. ?!",0
Super happy with my order! Arrived on time. **,0
"Good quality, but a bit expensive. Worth it though! :)",0
"Good quality, but a bit expensive. Worth it though! :)",0
Horrible!!! The worst experience ever. Do not buy!! :(,0
Absolutely love it!!! Would highly recommend to everyone. #love,1
Not what I expected... disappointing experience! :-(,0
Super happy with my order! Arrived on time. **,0
Horrible!!! The worst experience ever. Do not buy!! :(,0
Fantastic! Exceeded my expectations. Will order again. $$$,0
"I had high hopes, but it broke after a week. :-/",0
"I had high hopes, but it broke after a week. :-/",0
"Not the best, but not the worst either. Neutral feeling.",0
"Works as described, nothing special but decent. :)",0
Worst experience ever!!! Customer support was so rude. **,0
Worst experience ever!!! Customer support was so rude. **,0
"Product is okay, but packaging was awful. ?!?",0
Worst experience ever!!! Customer support was so rude. **,0
Scam! Don't trust them. They took my money and ran away! @#!,0
Great purchase! My family loves it. 100% recommended. $$$,1
Customer service was not helpful at all. Won't return. :(,0
"I had high hopes, but it broke after a week. :-/",0
Loved it! Just as advertised. #worthit,1
"I had high hopes, but it broke after a week. :-/",0
Scam! Don't trust them. They took my money and ran away! @#!,0
Horrible!!! The worst experience ever. Do not buy!! :(,0
Super happy with my order! Arrived on time. **,0
"Works as described, nothing special but decent. :)",0
"Good quality, but a bit expensive. Worth it though! :)",0
Worst experience ever!!! Customer support was so rude. **,0
Not what I expected... disappointing experience! :-(,0
I love this product! It's amazing and works perfectly. @#$,1
Super happy with my order! Arrived on time. **,0
Excellent quality and fast delivery. Super satisfied!!,1
Terrible service!! I won't buy from here again... :(,0
Great purchase! My family loves it. 100% recommended. $$$,1
"I had high hopes, but it broke after a week. :-/",0
"Good quality, but a bit expensive. Worth it though! :)",0
Scam! Don't trust them. They took my money and ran away! @#!,0
